"Dragon Word","Word Type","Canon Level",Definition,Notes
Strahn,verb,Non-Canon,"Wade, Ford",
Strahtafiir,noun,Semi-Canon,Highwayman,"From ""Strah"" and ""Tafiir"", ""road-thief""."
Strakaar,verb,Non-Canon,Deflect,"From ""Straag,"" ""turn"" and ""Jokaar,"" ""reflect""."
Strevind,noun,Non-Canon,Staple,"A basic principle or item; ""a staple of the fantasy genre,"" not referring to the ""stapler"" tool."
Strilor,adjective,Non-Canon,Concise,
Strilorend,adjective,Non-Canon,Concision,"From ""Strilor"", ""concise"" with suffix ""-end""."
Strimiin,verb,Semi-Canon,Nap,"To blink your eyes. Strin: shut, Miin: eyes. Edited from ""Srinmiin""."
Strin,verb,Non-Canon,"Close, Seal, Shut","The verb meaning ""to close"", not the adjective meaning ""close"" or ""near"". Edited from ""Srin""."
Stroh,noun,Non-Canon,Ritual,
Strov,verb,Non-Canon,Strum,
Strovodinok,noun,Semi-Canon,Necromancy,"Stroh: Ritual, Vodinok: Undead"
Strun,noun,Canon,Storm,
Strunaar,noun,Semi-Canon,"Breakthrough, Milestone","Lit. ""storm-summit"", something difficult to reach."
Strundaam,noun,Semi-Canon,Stormcloak,"Based on ""Strun"", ""storm"", and ""Roodam"", ""cloak""."
Strundu'ul,noun,Canon,Stormcrown,
Strungir,adjective,Semi-Canon,"Turbulent, Tremulous","Based on ""Strun,"" ""storm."""
Strunkaronahs,noun,Semi-Canon,"Storm Atronach","Alteration of ""Mukaronahs"" (Atronach)"
Strunmah,noun,Canon,Mountain,
Strunmahus,adjective,Semi-Canon,Mountainous,"""Strunmah"" + ""-us."""
Strunsul,noun,Semi-Canon,"Saturday / Loredas","Lit. ""Storm Day""."
Strunus,adjective,Semi-Canon,"Stormy, Angry","Combination of ""Strun"" and the suffix ""-us"".  Mainly means ""stormy"" but can also mean ""angry""."
Studaar,noun,Non-Canon,Excellence,
Studaariik,noun,Non-Canon,"Excellency ","From ""Studaar""."
Studen,adjective,Non-Canon,Excellent,
Stum,noun,Semi-Canon,South,"From ""Tum,"" ""down."" Edited from ""Sedin."""
Stumuv,adjective,Semi-Canon,"Southern, Southerly","From ""Stum"" with the suffix ""-uv."" Edited from ""Sedinen"" and ""Stunden."""
Stur,noun,Non-Canon,Stool,
Sturon,verb,Non-Canon,"Agitate, Agitation","Inspired from the Old english word ""styrian""."
Su,noun,Canon,Air,
Su'um,noun,Canon,"Breath, inner spirit",
Suf,noun,Semi-Canon,"Gas, Vapor",
Sufagniir,noun,Modern,"Natural Gas","Lit. ""gas-fuel."""
Sufask,adjective,Non-Canon,Gossamer,"From ""Fask"", ""delicate"". Meaning ""something delicate"". Also used as a noun."
Sufin,noun,Modern,Caramel,"From ""Sufol,"" ""sugar""."
Sufol,noun,Non-Canon,Sugar,
Sufol-Portav,noun,Non-Canon,"Ketchup ","From ""Sufol,"" ""sugar"" and ""Portav,"" ""tomato"", lit. ""sugar-tomato""."
Sufol-Yuvol,noun,Modern,Toffee,"From ""Sufol,"" ""sugar"" and ""Yuvol,"" ""butter"", lit. ""sugar-butter""."
Sufolbrot,noun,Non-Canon,Cake,"A compound of ""Sufol"" and ""Brot"", ""sugar bread""."
Sufolbrot,noun,Modern,Cookie,"From ""Sufol"" and ""Brot,"" lit. ""sugar bread."""
Sufolduul,noun,Semi-Canon,Glaze/Frosting,"From ""Sufol"" and ""Du'ul"", ""sugar-crown"". Can also be a verb ""to coat/crown with sugar""."
Sufoluftahin,noun,Modern,Marshmallow,"From ""Sufol,"" ""sugar"" and ""Uftahin,"" ""pillow"", lit. ""sugar-pillow""."
Sufolus,adjective,Non-Canon,Sugary,"""Sufol"" with the suffix ""-us""."
Sufus-Funiik,noun,Modern,Barometer,"Lit. ""air-force teller."""
Sufusuv,adjective,Modern,Barometric,"From ""Su,"" ""air,"" and ""Fus,"" ""force,"" ""pertaining to the force or pressure of air."""
Sujir,verb,Non-Canon,"Astonish, Dazzle",
Sukaat,noun,Non-Canon,"Intent, Intention","Based on ""Sukah"", ""to intend"". Edited from ""Sukahnd."""
Sukah,verb,Non-Canon,Intend,
Sukiv,noun,Semi-Canon,Minimum,"Derived from ""Suk"", ""least"". Also used as an adjective."
Sul,noun,Canon,Day,
Sulak,adjective,Non-Canon,"Casual, Nonchalant",
Suld,noun,Non-Canon,Shoulder,
Suldaan,noun,Non-Canon,"Apocalypse, Armageddon, Doomsday","Inspired by ""Sul"" and ""Oblaan""."
Suldaanuv,adjective,Semi-Canon,Apocalyptic,"""Suldaan"" with the suffix ""-uv"". Edited from ""Suldaniil."""
Suleyk,noun,Canon,Power,
Suleykaar,adjective,Canon,Powerful,
Suleykmithil,noun,Modern,"Engine, Motor","Lit. means ""power"", ""core""."
Suleykoz,noun,Semi-Canon,Hierarchy,"Based on ""Suleyk"", ""power""."
Suleyksejun,noun,Canon,"Realm, Dominion","Lit. ""power of the king""."
Suliiv,verb,Semi-Canon,"Choke, Strangle","Edited from ""Drend."" From ""Su"" and ""Liiv,"" ""air-wither."""
Sulovaas,noun,Modern,Aria,"From ""Su"", ""air"", and ""Lovaas"", ""song""."
Sulsinak,noun,Semi-Canon,"Sun ray, daylight beams that pass through or around clouds","Lit. ""day-finger."""
Sulus,adjective,Semi-Canon,Daily,"""Sul"" with the suffix ""-us."""
Sulvek,noun,Non-Canon,"Comfort, Solace","For both noun and verb -- to comfort someone, or to find comfort in something.)  Edited from ""Suhlvek""."
Sulvekaal,adjective,Semi-Canon,Comfortable,
Sum,verb,Semi-Canon,Breathe,"The verb form of ""Su'um"", also derived from ""Su""."
Sumaar,noun,Semi-Canon,"Nose, Nostril","A variation of ""Sum"", ""to breathe""."
Sumaariiv,noun,Modern,"Tissue Paper","From ""Sumaar"" and ""Riiv,"" ""nose-cloth."""
Sumaas,noun,Semi-Canon,"Lung, lungs","Refers to ""Sum"", is its own plural."
Sumah,verb,Semi-Canon,"Whisper, Murmur","Derived from ""Sum"", ""breathe""."
Sumaraan,noun,Semi-Canon,"Muzzle, Snout","From ""Sumaar"". Related to ""Raan""."
Sun,verb,Semi-Canon,"Blow, to blow air","Edited from ""Bos."" Related to ""Su,"" ""air."""
Sunaak,noun,Semi-Canon,"Pipe, Reed, Woodwind","Referred to ""Su"" (""Air"")."
Sunah,noun,Non-Canon,Lance,
Sunahpaan,noun,Modern,Bagpipe,"Portmanteau of ""Sunaak,"" ""pipe/reed,"" and ""Ahpaan,"" ""bag."""
Sungaar,verb,Semi-Canon,Vent,"Lit. ""blow-release."""
Suniiv,noun,Modern,Balloon,"Lit. ""air-ball."""
Suniivikin,noun,Modern,Pufferfish,"Lit. ""balloon-fish."""
Sunu,verb,Semi-Canon,Sigh,"From ""Su"", ""air""."
Sunvaar,noun,Canon,"Beast / Beasts","See also ""Sivaas."" Connotations may be more wild or savage, closer in meaning to ""monster"" than ""animal."""
Sur,adjective,Non-Canon,Yellow,
Suraas,noun,Non-Canon,"Gust, Surge, Flurry",
Suraath,noun,Semi-Canon,Velocity,"Related to ""Su"", ""air""."
Surahgol,noun,Semi-Canon,Hurricane,"A compound of ""Su"" and ""Rahgol"", ""air rage"""
Suranmiik,adverb,Non-Canon,"Especially, Specifically, Particularly",
Suril,noun,Non-Canon,Wheat,
Surilim,noun,Non-Canon,"Pasta, Noodle","From ""Suril"", ""wheat."""
Sursogaal,noun,Non-Canon,Citrine,"From ""Sur"" and ""Sogaal,"" ""yellow-gem."""
Suruft,noun,Non-Canon,Canary,"Lit. ""yellow-feather."""
Suruus,noun,Semi-Canon,Windpipe,
Sus,adjective,Semi-Canon,"Bloody / Bloodied","Derived from ""Sos"", with the suffix ""-us"", contracted to form an easier-to-pronounce word."
Sustaal,noun,Modern,Airport,"Literal adaptation."
Sutah,verb,Non-Canon,"Sprinkle, Spritz",
Suth,noun,Semi-Canon,"Breeze, Draft","Related to ""Su"", ""air""."
Suthus,adjective,Non-Canon,"Breezy, Drafty, Airy","From ""Suth"" with suffix ""-us""."
Suvohmulhaan,adjective,Modern,Aerodynamic,"Lit ""air dynamic""."
Suvulaan,noun,Canon,Twilight,
Suyah,verb,Non-Canon,Hug,
Suz,verb,Non-Canon,"Figure, Estimate","The verb meaning ""to figure"", rather than a person ""figure""."
Taak,interjection,Non-Canon,Ouch!/Ow!,
Taargu,verb,Semi-Canon,"Degrade, Debase, Abase","Related to ""aar"", ""servant/slave""."
Taavin,noun,Non-Canon,"Debris, Refuse",
Taavoz,verb,Non-Canon,Elaborate,
Taazokaan,noun,Canon,Tamriel,
Tafiir,noun,Canon,Thief,
Tah,noun,Canon,Pack,"Refers to a pack of animals."
Tahdoor,noun,Non-Canon,Barrel,"Edited from ""Hamrak."""
Tahlok,noun,Semi-Canon,Flock,"Lit. ""pack (of the) sky."""
Tahlon,verb,Non-Canon,"Align, Straighten, Order",
Tahloniik,noun,Non-Canon,Alignment,"""Tahlon"" with siffix ""-iik""."
Tahmus,verb,Non-Canon,React,"Based of the Finnish ""Taantumus"" (Reaction)."
Tahmusend,noun,Non-Canon,Reaction,"""Tahmus"" with the suffix ""-end""."
Tahriik,adjective,Non-Canon,"Safe, Safety, Safeness","Edited from ""Tirahk."""
Tahrodiis,adjective,Canon,Treacherous,
Tahrovin,noun,Canon,Treachery,
Tahto,verb,Non-Canon,Click,"Imitative of the dental click sound."
Tahvir,adjective,Non-Canon,Straight,
Tahzos,noun,Non-Canon,Broth,
Tal,noun,Non-Canon,"Account, Report",
Talaav,noun,Non-Canon,Hoof,
Taldeykraan,noun,Modern,Newspaper,"From ""Tal"" and ""Deykraan,"" ""report paper."""
Tanz,verb,Non-Canon,Dance,
Tanziik,noun,Non-Canon,Dancer,"""Tanz"" with suffix ""-iik""."
Tarim,noun,Non-Canon,Toll,
Tarn,adjective,Non-Canon,"Steady, Stable",
Tarnom,noun,Non-Canon,"Steadiness, Stability","""Tarn"" with suffix ""-om""."
Tarukun,verb,Non-Canon,"Jabber, Gabble, Gibber",
Tarvok,noun,Non-Canon,Greed,
Tarvoknaak,noun,Semi-Canon,"Glutton, Gorger, Gobbler, one who eats excessively","Lit. ""Greed"", ""Eat""."
Tarvokus,adjective,Non-Canon,Greedy,"""Tarvok"" with the suffix ""-us""."
Tasnah,noun,Non-Canon,Compassion,
Tauliis,noun,Non-Canon,Talisman,
Taumir,noun,Non-Canon,Bridle,
Tavus,adjective,Non-Canon,"Tan, Beige",
Tefsu,verb,Semi-Canon,Suck,"Lit. ""pull"", ""air""."
Tefsulom,noun,Non-Canon,Sponge,"Lit. means ""suck"", ""water""."
Tefsulomus,adjective,Non-Canon,Spongy,"""Tefsulom"" with suffix ""-us""."
Tefsunaat,noun,Modern,"Sucker, Lollipop","From ""Tefsu"" with suffix ""-aat,"" ""something that is sucked on."""
Tegal,verb,Non-Canon,Counter,
Tegalrot,verb,Semi-Canon,"Object, Disagree","From the words ""Tegal"" meaning ""counter"" and the word ""Rot"" meaning ""word""."
Tegalrotak,noun,Semi-Canon,Objection,"From the word ""Tegalrot"" meaning ""Object"" and the suffix ""-ak""."
Tein,noun,Semi-Canon,"Kalpa, world-cycle","Derived from both ""Tiid,"" ""time,"" and ""Lein,"" ""world."""
Teivo,adjective,Non-Canon,"Drunk, Intoxicated, Inebriated",
Tekar,adjective,Non-Canon,"Hideous, Haggard, Ugly",
Tekarom,noun,Non-Canon,"Hideousness, Ugliness","""Tekar"" with the suffix ""-om""."
Tend,verb,Non-Canon,"Bar, Obstruct","Based on ""Tendrok"", ""Barrier/Obstruction""."
Tendrok,noun,Non-Canon,"Barrier, Obstruction",
Tenzeil,noun,Non-Canon,Pipe,"""Pipe"" for fluid substances, see ""Sunaak."""
Ter,verb,Non-Canon,"Add, Augment, Increase, Produce, Amplify, make many of","Rhymes with ""air"". Edited from ""Tjer""."
Terag,verb,Non-Canon,"Harry, Harass, Badger",
Tesiik,noun,Non-Canon,Humor/Humour,
Tesiikei,adjective,Non-Canon,Humorous,"""Tesiik"" with the suffix ""-kei."""
Tet,noun,Non-Canon,"Title, Epithet","Inspired by Scandinavian terms for ""title""."
Tey,noun,Canon,Tale,
Teyfuniik,noun,Semi-Canon,Storyteller,"From ""Tey"" and ""Fun."""
Teymaak,noun,Semi-Canon,Chronicle,"From ""Tey"", ""tale""."
Teyn,adjective,Non-Canon,Front,"Edited from ""Teyx."" Also a noun."
Teynaar,noun,Non-Canon,Frontier,"Derived from ""Teyn."" Edited from ""Teyxah."""
Teynuv,adjective,Semi-Canon,"Mythic, Mythical, Fabulous","From ""Tey"", ""tale"", so great as to be from fable or myth. Edited from ""Kalidaal."""
Teyselaas,noun,Semi-Canon,"Biography, Autobiography","Lit. ""tale of life."""
Teyxom,noun,Non-Canon,Bangs,"Literally ""Front hair"""
Thaal,verb,Non-Canon,Leap,"Slightly derived from ""Thral,"" ""jump."""
Thaar,verb,Semi-Canon,Obey,"The verb form of ""Thaarn""."
Thaarn,noun,Canon,Obedience,
Thaarnu,adjective,Semi-Canon,Disobedient,"""Thaarn"" + ""-nu"": ""without obedience""; synonymous with ""Vozothaarn."""
Thalabrot,noun,Non-Canon,Pastry,"From ""Brot"", ""bread""."
Ther,noun,Non-Canon,Square,
Thesk,noun,Non-Canon,"Mess, Disarray, Turmoil, Sloven","From Icelandic ""sothaskapur"""
Theskus,adjective,Non-Canon,"Messy, Slovenly","From ""Thesk"", ""mess"" with suffix ""-us""."
Thiik,noun,Non-Canon,Eight,"Edited from ""Eln."""
Thiikreid,noun,Non-Canon,Octagon,"Meaning ""eight-side"". Edited from ""Elnreid."""
Thok,noun,Non-Canon,"Dirt, Soil","From Old Norse ""othokku"""
Thok-Serk,noun,Non-Canon,Mole,"Lit. ""dirt-rat."""
Thokaz,verb,Non-Canon,Pollute,"From ""Thokus"", ""dirty""."
Thokriiv,noun,Non-Canon,Rag,"Literally 'dirt-cloth'."
Thokus,adjective,Non-Canon,"Dirty, Murky","From ""Thok"" with the suffix ""-us""."
Tholaar,noun,Non-Canon,"Artifact, Artefact, Relic",
Tholah,verb,Non-Canon,"Tolerate, Tolerance","Derived from Old Norse."
Thon,noun,Non-Canon,Ton,
Thraat,preposition,Non-Canon,Despite,"From the Icelandic word for ""despite,"" ""þrátt."""
Thral,verb,Non-Canon,Jump,
Thraldriin,noun,Modern,Gazelle,"Lit ""jumping deer."""
Thralpalaar,noun,Modern,Trampoline,"Based on the word ""Thral"", ""jump"" and ""palaar"", ""platform""."
Thrinmah,noun,Non-Canon,Pineapple,
Thu'um,noun,Canon,"Dragon Shout, Voice","This refers to the power of the Voice, not regular speech."
Thu'umnu,adjective,Semi-Canon,Voiceless,"A slur or curse, implying someone is incapable of the Voice."
Thul,noun,Non-Canon,Thunder,"Shortened from ""Thu'ul."""
Thulkei,adjective,Non-Canon,Thunderous,"""Thul"" with the suffix ""-kei"". Shortened from ""Thu'ulkei."""
Thulovaas,noun,Modern,"Bass, Contra-Bass, the musical range.","Lit. ""thunder-song."""
Thulzun,noun,Modern,"Gun, Firearm","Lit. ""thunder-weapon."" Edited from ""Mulrunaz."""
Thulzun-Heimiik,noun,Modern,Gunsmith,"Literal adaptation. Edited from ""Mulrunaz-Heimiik."""
Thulzunkod,noun,Modern,"Gunner / Gunman","Lit. ""gun-wield."" Edited from ""Mulrunaziik."""
Thun,noun,Semi-Canon,Law,"From ""Thur,"" ""overlord."""
Thuniik,noun,Modern,Lawyer,"""Thun"" with suffix ""-iik""."
Thunkodiik,noun,Modern,"Police, Policeman","From ""Thun"" and ""Kod,"" ""law-wielder."""
Thunselaniz,noun,Modern,Copyright,"Lit. ""law of copying."""
Thuntiid,noun,Semi-Canon,Curfew,"From ""Thun,"" ""law"" and ""Tiid,"" ""time"", lit. ""law-time""."
Thunuth,noun,Semi-Canon,Judge,"From ""Thun"" and ""Uth,"" someone who commands law."
Thunuv,adjective,Semi-Canon,Legal,"""Thun"" with the suffix ""-uv"", ""of or pertaining to the law"". Edited from ""Thuniil.""
"
Thunvu,noun,Semi-Canon,"Lawless, Bandit, Outlaw","An adjective that means ""lawless"", as well as a noun that means ""bandit"" or ""outlaw""."
Thur,noun,Canon,"Overlord, Overlordship, Lordship, Tyranny, Tyrant","Expanded definition to include ""lordship"" and ""overlordship."""
Thurkulaan,noun,Semi-Canon,"Molag Bal","An epithet of ""Molag Bal,"" lit. ""overlord prince."" The name ""Molag Bal"" may stil be loaned."
Thurot,noun,Semi-Canon,"Absolute, Absolutness, an absolute truth","A compound meaning ""overlord word"". The adjective ""absolute"" and a noun meaning ""an absolute truth""."
Thus,noun,Non-Canon,Shore,"Altered from ""Tuuz"" to avoid homophone with ""Tuz"". Edited from ""Tuus"" to avoid homophone with ""Tus."""
Thusokriim,noun,Modern,"Osprey, Sea Hawk","Used idiomatically to mean a clever, charismatic warrior that nevertheless does not always win."
Tii,verb,Semi-Canon,Count,"To count time or items.  Like ""Krii"", its past form is ""Tiaan""."
Tiid,noun,Canon,Time,
Tiid-Ahraan,noun,Canon,"Time Wound",
Tiid-Bo,noun,Semi-Canon,"time-flight, time travel, also as a verb, to fly through time",
Tiid-Haalziik,noun,Modern,Metronome,"From ""Tiid"" and ""Haalziik,"" lit. ""time-clapper."""
Tiid-Staadnau,adjective,Semi-Canon,"Existing outside of time, or not bound to the laws of time","Primarily in reference to the Elder Scrolls. Lit. ""time-unbound."" Edited from ""Miirney."""
Tiidahmaan,noun,Semi-Canon,"Flashback, Recollection, thoughts of the past","Lit. ""time-remember""."
Tiidfar,noun,Semi-Canon,Calendar,"Lit. ""time-track""."
Tiidfuniik,noun,Modern,Clock,"Edited from ""Urah."" Lit. ""time teller."""
Tiidmiiraak,noun,Modern,Wormhole,"From ""Tiid,"" ""time,"" and ""Miiraak,"" ""portal."""
Tiidnavir,noun,Semi-Canon,"Lineage, Line, House, Parentage","Based on ""Tiid"" and ""Ragnavir""."
Tiidnu,adjective,Semi-Canon,"Timeless, Permanent, Immutable, Steadfast","Edited from ""Ahgul""."
Tiidnul,noun,Semi-Canon,"Timelessness, Permanence,  Immutability","Edited from ""Ahgulom""."
Tiidus,adjective,Semi-Canon,Timely,"From ""Tiid, ""time"" with suffix ""-us""."
Tiiduv,adjective,Semi-Canon,Temporal,"""Tiid"" with the suffix ""-uv"". Edited from ""Tiidiil."""
Tiidvokun,noun,Modern,Sundial,"Lit. ""time shadow."""
Tiik,verb,Non-Canon,Hang,
Tiin,adjective,Non-Canon,Weary,
Tiinah,noun,Semi-Canon,Aunt,"Related to ""Briinah,"" ""sister."" Edited from ""Borbrii."""
Tiindo,noun,Semi-Canon,Vintage,"From ""Tiid"", ""time""."
Tiinu,adjective,Non-Canon,Countless,"""Tii"" with the suffix ""-nu""."
Tiiraaz,adjective,Canon,Sad,"Corrected from ""Tiraaz""."
Tiiraazak,adjective,Semi-Canon,Miserable,"From ""Tiiraaz""."
Tiiraazom,noun,Semi-Canon,Sadness,"""Tiiraaz"" with suffix ""-om"". Corrected from ""Tiraazom""."
Tiizak,noun,Non-Canon,Cistern,
Tik,noun,Non-Canon,Month,
Tikus,adjective,Non-Canon,Monthly,"""Tik"" with the suffix ""-us."" Edited from ""Tikaar."""
Til,adverb,Canon,There,
Timak,verb,Non-Canon,"Mumble, Mutter",
Tind,verb,Semi-Canon,Chat,"A shortened, casual form of ""Tinvaak."""
Tindey,noun,Non-Canon,Calligraphy,
Tingrol,noun,Non-Canon,Mongrel,
Tinvaak,verb,Canon,"Talk, Speak, Discuss / Speech, Conversation, Discussion","Can be used as both a verb, ""to talk/speak"", and a noun meaning ""talk"", ""speech"", or ""conversation""."
Tinvaakin,noun,Semi-Canon,"Speaker, Orator","Based on ""Tinvaak""."
Tinvaaknu,adjective,Semi-Canon,Speechless,
Tinvaakril,verb,Semi-Canon,Daresay,"From ""Tinvaak,"" ""to speak,"" and ""Kril,"" ""brave."""
Tinvaakuv,adjective,Semi-Canon,"Social, Conversational","From ""Tinvaak,"" ""speech."" Edited from ""Maatel."""
Tinvaatey,noun,Semi-Canon,"Play, an oral story","From ""Tinvaak"" and ""Tey"", ""spoken tale""."
Tinviis,noun,Semi-Canon,Accent,"Edited from ""Araak."" Related to ""Tinvaak,"" ""speech."""
Tinvirlaan,noun,Semi-Canon,Syntax,"This was created from ""Tinvaak"" (speech) and ""Virlaan"" (order)."
Tinvok,noun,Semi-Canon,Language,"Based on ""Tinvaak"", ""speech""."
Tinvokin,noun,Modern,Linguist,"From ""Tinvok,"" ""language,"" lit. ""language-master."""
Tir,adverb,Non-Canon,Out,
Tirah,adjective,Non-Canon,"Foreign, Foreigner","Based on ""Tir"", ""out""."
Tiran,noun,Non-Canon,Border,
Tirdun,noun,Non-Canon,Sage,"Shortened from ""Tirduun."""
Tirn,noun,Non-Canon,"Ware / Wares","Is its own plural."
Tirris,verb,Non-Canon,Output,"Literal translation. ""out-put""."
Tirstaal,verb,Non-Canon,Export,"Literally ""out-port"". Also a noun."
Tirsum,verb,Semi-Canon,Exhale,"Compound meaning ""out-breathe""."
Tirtiv,adjective,Semi-Canon,Outward,"""Tir"" with the suffix ""-tiv."""
Tirvah,noun,Non-Canon,Clover,
Tirzahtiid,adjective,Semi-Canon,Obsolete,"Lit. ""out of time"", or ""out of the finite time"".
"
Tivoz,noun,Non-Canon,Upkeep,
To,conjunction,Non-Canon,"Though, Although","Pronounced like ""toe""."
Todol,noun,Non-Canon,Gait,
Togaat,verb,Canon,Attempt,
Tojaar,noun,Non-Canon,"Flake, Sliver",
Tokaan,noun,Non-Canon,Number,
Tokaaneiziid,noun,Modern,"Statistic, Data","From ""Tokaan,"" ""number"" and ""Eiziid,"" ""fact"", lit. ""number-fact""."
Tokaansegutzul,noun,Modern,"Phone number","Lit. means ""number of telephone""."
Tokaas,noun,Non-Canon,"Math, Mathematics, to do math","From ""Tokaan,"" ""number."""
Tokaasiik,noun,Modern,Calculator,"""Tokaas"" with the suffix ""-iik,"" ""that which does math."""
Tokah,noun,Non-Canon,"Guild, Organization, League, Club","Edited from ""Dokahl."""
Tokingrah,adjective,Semi-Canon,Flexible,"Loosely translated, ""able to make long""."
Tol,conjunction,Canon,That,"For the pronoun, see ""Daar."""
Tolaak,verb,Non-Canon,"Twist, Wind",
Tolaan,noun,Semi-Canon,"Desire, Aspire, Aspiration","Edited from ""Krahl"" and ""Smaal."" From ""Laan,"" ""to want."""
Tolaas,noun,Non-Canon,Advise/Advice,"Edited from ""Barlaas."""
Tolakniir,noun,Modern,Screw,"From ""Tolaak,"" ""to twist,"" with the suffix ""-niir."" ""That which is twisted."""
Tolal,noun,Non-Canon,Honey,
Tolasiik,noun,Non-Canon,"Adviser, Advisor","""Tolaas"" with the suffix ""-iik."""
Toneruvos,noun,Semi-Canon,Millennium,"A compound meaning ""thousand-year""."
Tonkranek,noun,Modern,Kilogram,"A compound of ""Kranek"" and ""Ton"". Extended from ""Tonkraan."""
Tonmezaar,noun,Modern,Kilometer,"A compound of ""ton"", ""thousand"", and ""mezaar"", ""meter""."
Tonpozaar,noun,Non-Canon,Kiloliter,"""Pozaar"" compounded with ""Ton"", ""thousand""."
Toor,noun,Canon,Inferno,
Toorus,adjective,Semi-Canon,Infernal,"""Toor"" with the suffix ""-us"". Edited from ""Tooriil."""
Tor,noun,Non-Canon,Dusk,
Toraas,noun,Non-Canon,Doe,"Related to ""Toriig""."
Toriig,noun,Non-Canon,"Stag, Buck",
Torsul,noun,Semi-Canon,"Thursday / Turdas","Lit. ""Dusk Day""."
Tovaak,verb,Semi-Canon,"Suggest, Suggestion","Edited from ""Bardur."" Related to ""Tinvaak,"" ""talk."""
Tovit,verb,Canon,Search,
Tovitaan,noun,Canon,"Searcher, Seeker",
Tovitah,verb,Semi-Canon,Scavenge,"Related to ""Tovit""."
Tovitahgrohiik,noun,Modern,Coyote,"From ""Tovitah,"" ""scavenge"" and ""Grohiik,"" ""wolf"", lit. ""scavenge-wolf""."
Tovok,noun,Non-Canon,Wonder,
Tovokei,adjective,Non-Canon,Wondrous,"From ""Tovok"" with the suffix ""-kei."""
Tovos,noun,Non-Canon,Thyme,
Toz,adjective,Non-Canon,"Due, Duly",
Tozein,noun,Non-Canon,"Mistake, Fault, Error, Flaw, Err","Can also be used as a verb, ""to err, mistake, error, fault""."
Tozeinaal,adjective,Non-Canon,"Faulty, Flawed","""Tozein"" with suffix ""-aal."""
Tozeinvu,adjective,Non-Canon,"Faultless, Flawless, Perfect, Impeccable","""Tozein"" with the suffix ""-vu""."
Tozeinvulaan,noun,Semi-Canon,Perfectionist,"Lit. ""wanting perfection."""
Traas,noun,Non-Canon,Grief,
Traaskei,adjective,Non-Canon,Grievous,"""Traas"" with the suffix ""-kei"", ""full of grief""."
Traaz,noun,Non-Canon,Beach,
Trah,verb,Non-Canon,Grieve,
Trahkiin,noun,Semi-Canon,"Trait, Attribute","From ""Kiin"", ""born"", an inborn quality."
Trahkiin-Veik,noun,Semi-Canon,"Deoxyribonucleic acid, DNA","From “Trahkiin,"" “trait”, and “Veik,"" “acid,” lit. “trait-acid”."
Trax,noun,Non-Canon,"Cross, Crucifix",
Traxaav,verb,Semi-Canon,"Crucify, Crucifixion","Literally, ""(to) join (to a) cross."""
Tren,noun,Non-Canon,Mile,
Treymoz,verb,Non-Canon,Ambush,
Treymoziik,noun,Non-Canon,Ambusher,"From ""Treymoz"" with suffix ""-iik""."
Treyun,noun,Non-Canon,"Cannon
",
Treyun-Niiv,noun,Non-Canon,Cannonball,"Compound of ""Treyun"" and ""Niiv,"" ""cannon-ball."""
Triik,noun,Non-Canon,"Caravan, Train, any procession of travelers",
Triir,verb,Non-Canon,Pour,"From ""Trir,"" ""to tip."""
Trimal,noun,Non-Canon,Trinket,
Trin,noun,Non-Canon,String,
Trir,noun,Non-Canon,Tip,
Trof,verb,Non-Canon,Shred,
Trofir,adjective,Non-Canon,Tropic,
Trofiruv,adjective,Non-Canon,Tropical,"Edited from ""Wernek"" and ""Trofiren."" ""Trofir"" with the suffix ""-uv."""
Trog,verb,Non-Canon,"Snatch, Snag, Grab","Edited from ""Vork."""
Trok,noun,Non-Canon,Stuff,"A variation of 'truk' meaning 'thing'. Informal."
Troz,noun,Non-Canon,Thorn,
Trug,verb,Non-Canon,Stagger,
Truk,noun,Non-Canon,Thing,
Trum,verb,Semi-Canon,Sink,"From ""Tum,"" ""down."" The verb ""to sink,"" not the noun."
Trumgol,noun,Non-Canon,"Swamp, Bog, Marsh","A compound of ""Trum"" (sink) and ""Gol"" (earth). Edited from ""Styorngol."""
Trun,noun,Non-Canon,"Case, Matter, Affair, Ordeal","Edited from ""Hiitir."""
Tu,noun,Canon,Hammer,
Tudren,noun,Non-Canon,Wrist,"Edited from ""Deh."""
Tuk,noun,Non-Canon,Brick,
Tuknokin,noun,Semi-Canon,Bricklayer,"Literally, ""bricklayer"", from ""Tuk"" and ""Nok""."
Tukuz,verb,Non-Canon,Suppress,"Related to ""Ukuz"", ""oppress""."
Tul,conjunction,Semi-Canon,"Still, Yet","Used to mean both ""still"" and ""yet."" From ""Rul,"" ""when."" Edited from ""Maht."""
Tuld,verb,Semi-Canon,Tumble,"Based on ""Wuld,"" ""whirlwind,"" in a sense of spinning."
Tulk,noun,Non-Canon,Sty,"From the Welsh for ""sty,"" ""twlc."""
Tum,preposition,Canon,Down,
Tumah,noun,Semi-Canon,"Downfall, Collapse, Crumble","From ""Tum"" and ""Mah"". Also a verb, ""to collapse, crumble, or have a downfall."""
Tumbo,verb,Semi-Canon,Descend,"From the words ""Tum"" meaning ""Down"" and ""Bo"" meaning ""Move""."
Tumbonaar,verb,Semi-Canon,Prostrate,"From ""Tum"", ""down"", and ""Bonaar"", ""humble""."
Tumreid,adjective,Non-Canon,Downside,"Literally translated."
Tun,noun,Non-Canon,Trade,"Can also be a Verb"
